Código;Local/Unidade
01.01.0011.01.0020;SEDUC ESCOLA - RIBEIRO DA CUNHA
01.01.0011.01.0044;SEDUC ESCOLA - RODERICK CASTELO BRANCO
01.01.0011.01.0003;SEDUC ESCOLA - TEREZINHA DE ALMEIDA
01.01.0011.01.0048;SEDUC ESCOLA - VASCO VASQUES
01.01.0011.01.0023;SEDUC ESCOLA - VICENTE SCHETTINI
01.01.0011.01.0136;SEDUC ESCOLA - WALDIR GARCIA
01.01.0011.01.0131;SEDUC ESCOLA ESTADUAL - PROF JORGE KARAM NETO
01.01.0011.02.0053;SEDUC INTERIOR - CENTRO EDUCACIONAL D.MARZI
01.01.0011.02.0055;SEDUC INTERIOR - CETI AURISTELIO S DE OL
01.01.0011.02.0056;SEDUC INTERIOR - CETI BENEDITA BARBOSA D
01.01.0011.02.0057;SEDUC INTERIOR - CETI CALIXTO RIBEIRO
01.01.0011.02.0058;SEDUC INTERIOR - CETI NEUZA ALVES
01.01.0011.02.0060;SEDUC INTERIOR - CETI PEDRO ALVES DA SIL
01.01.0011.02.0132;SEDUC INTERIOR - CETI PROF MARIA DAS GRACAS LIMA DE MELO
01.01.0011.02.0122;SEDUC INTERIOR - E. E. AMATURA
01.01.0011.02.0070;SEDUC INTERIOR - E. E. ANTONIO FERREIRA
01.01.0011.02.0062;SEDUC INTERIOR - E. E. ARMANDO BERREDO
01.01.0011.02.0072;SEDUC INTERIOR - E. E. ARMANDO DE SOUZA
01.01.0011.02.0073;SEDUC INTERIOR - E. E. ARMANDO MENDES
01.01.0011.02.0074;SEDUC INTERIOR - E. E. BELARMINO G.ALBUQ
01.01.0011.02.0075;SEDUC INTERIOR - E. E. CARAUARI
01.01.0011.02.0076;SEDUC INTERIOR - E. E. CEL.ALFREDO MARQU
01.01.0011.02.0077;SEDUC INTERIOR - E. E. CICERO LOPES
01.01.0011.02.0078;SEDUC INTERIOR - E. E. CONRADO PINTO GOM
01.01.0011.02.0079;SEDUC INTERIOR - E. E. DESMB. JOAO REBEL
01.01.0011.02.0080;SEDUC INTERIOR - E. E. DOM BOSCO
01.01.0011.02.0081;SEDUC INTERIOR - E. E. EDUARDO RIBEIRO
01.01.0011.02.0082;SEDUC INTERIOR - E. E. EURICO GASPAR DUT
01.01.0011.02.0083;SEDUC INTERIOR - E. E. FRANCIDENE SOARES
01.01.0011.02.0084;SEDUC INTERIOR - E. E. FRANCISCA MENDES
01.01.0011.02.0117;SEDUC INTERIOR - E. E. GILBERTO MESTRINHO
01.01.0011.02.0085;SEDUC INTERIOR - E. E. I CACIQUE MANUEL
01.01.0011.02.0086;SEDUC INTERIOR - E. E. I CORONEL RAIMUND
01.01.0011.02.0087;SEDUC INTERIOR - E. E. I GENESIO CUSTODI
01.01.0011.02.0088;SEDUC INTERIOR - E. E. I GILDO SAMPAIO
01.01.0011.02.0089;SEDUC INTERIOR - E. E. I MANUEL JOAQUIM
01.01.0011.02.0090;SEDUC INTERIOR - E. E. I N.S.IMAC.CONCEI
01.01.0011.02.0091;SEDUC INTERIOR - E. E. I POGUTA
01.01.0011.02.0092;SEDUC INTERIOR - E. E. I PROFª ROSA CRUZ
01.01.0011.02.0066;SEDUC INTERIOR - E. E. INDIGENA DOM PEDR
01.01.0011.02.0093;SEDUC INTERIOR - E. E. IPIXUNA
01.01.0011.02.0094;SEDUC INTERIOR - E. E. IZAURA TORRES
01.01.0011.02.0095;SEDUC INTERIOR - E. E. JOÃO CONRADO
01.01.0011.02.0067;SEDUC INTERIOR - E. E. JOSE CARLOS MARTI
01.01.0011.02.0064;SEDUC INTERIOR - E. E. MADRE REGINA
01.01.0011.02.0130;SEDUC INTERIOR - E. E. MARIA EMÍLIA
01.01.0011.02.0065;SEDUC INTERIOR - E. E. MARIZITA
01.01.0011.02.0068;SEDUC INTERIOR - E. E. MONS E. DE CEFALÔ
01.01.0011.02.0096;SEDUC INTERIOR - E. E. MONS. E. DE CEFAL
01.01.0011.02.0097;SEDUC INTERIOR - E. E. N.S. DAS DORES
01.01.0011.02.0098;SEDUC INTERIOR - E. E. NAIR ALVES DA SIL
01.01.0011.02.0099;SEDUC INTERIOR - E. E. NOVO CEU
01.01.0011.02.0100;SEDUC INTERIOR - E. E. OSVALDO NASCIMENT
01.01.0011.02.0101;SEDUC INTERIOR - E. E. PIO VEIGA
01.01.0011.02.0102;SEDUC INTERIOR - E. E. PRESIDENTE CASTEL
01.01.0011.02.0103;SEDUC INTERIOR - E. E. PRESIDENTE VARGAS
01.01.0011.02.0104;SEDUC INTERIOR - E. E. PROF CHAGAS MATOS
01.01.0011.02.0106;SEDUC INTERIOR - E. E. PROF DARIA GABRIE
01.01.0011.02.0108;SEDUC INTERIOR - E. E. PROF JOHANNES PET
01.01.0011.02.0105;SEDUC INTERIOR - E. E. PROF NAZARE VAREL
01.01.0011.02.0109;SEDUC INTERIOR - E. E. RAIMUNDO SÁ
01.01.0011.02.0120;SEDUC INTERIOR - E. E. ROMERITO BRITO
01.01.0011.02.0110;SEDUC INTERIOR - E. E. ROSA GARCIA
01.01.0011.02.0111;SEDUC INTERIOR - E. E. SANTO ANTONIO
01.01.0011.02.0112;SEDUC INTERIOR - E. E. SANTOS DUMONT
01.01.0011.02.0125;SEDUC INTERIOR - E. E. SAO CRISTOVAO
01.01.0011.02.0063;SEDUC INTERIOR - E. E. SÃO FRANCISCO
01.01.0011.02.0113;SEDUC INTERIOR - E. E. SÃO JOSÉ
01.01.0011.02.0114;SEDUC INTERIOR - E. E. SATURNINO MARÃES
01.01.0011.02.0115;SEDUC INTERIOR - E. E. SERGIO RUFINO DE
01.01.0011.02.0116;SEDUC INTERIOR - E. E. VEREADOR LAURO DE
01.01.0011.02.0126;SEDUC INTERIOR - E. E. VIDAL DE MELO
01.01.0011.02.0131;SEDUC INTERIOR - E.E. DEUZALINA P. RIBEIRO
01.01.0011.02.0054;SEDUC INTERIOR - SEDE DA COORDENADORIA
01.01.0086.01.0001;SEMHAF
01.01.0085.01.0111;SEMSA - ADM
01.01.0085.01.0032;SEMSA - ARTHUR VIRGILIO
01.01.0085.01.0011;SEMSA - C DE REABILITAÇÃO PROF ROY GRACE
01.01.0085.01.0003;SEMSA - CAPS AD DR. AFRANIO SOARES
01.01.0085.01.0108;SEMSA - CAPS AD DRA ELIANA VITORINO SCHA
01.01.0085.01.0004;SEMSA - CAPS BENJAMIM MATIAS FERNANDES
01.01.0085.01.0002;SEMSA - CAPS INFANTO JUVENIL LESTE
01.01.0085.01.0005;SEMSA - CAPS INFANTO JUVENIL SUL
01.01.0085.01.0009;SEMSA - CENTRO DE ZOONOSES
01.01.0085.01.0006;SEMSA - CEO LESTE PROF DR. JAIR MACHADO
01.01.0085.01.0007;SEMSA - CEO NORTE DR. RUBIM SA
01.01.0085.01.0008;SEMSA - CEO SUL DR. JOSE F DE OLIVEIRA
01.01.0085.01.0022;SEMSA - CF CARLSON GRACIE
01.01.0085.01.0023;SEMSA - CF CARMEN NICOLAU
01.01.0085.01.0024;SEMSA - CF DESEMBARGADOR FABIO COUTO
01.01.0085.01.0025;SEMSA - CF DR. ANTONIO REIS
